Name:    Size   Toppings:                                
Mathew,   M,       olives,                              
Jhon,     S,       olives,sausage,mushroms,            
Alex      L,       tomatoes,spinach,olives,cheese,      
Sara,     L,       cheese,                         
Emily,    S,       mushrooms,olives,tomatoes,           
Liz,      M,       ham,mushroom,olives,                
Josh,     M,       cheese,onions,                  
Miles,    S,       mushrooms,olives,tomatoes,ham,       
Mason,    L,       cheese,                         
Harper,   L,       olives,onions,chicken,               
Evelyn,   M,       spinach,olives,ham,chicken,          
Mia,      S,       cheese,                        
Bell,     S,       sausage,olives,tomatoes,          
Sophia,   S,       cheese,                               
Max       M,       olives,cheese,sausage,ham,mushrooms
